Bezeichnung;Wahlberechtigte insgesamt;"Wahlberechtigte ohne Sperrvermerk ""W""";"Wahlberechtigte mit Sperrvermerk ""W""";Wahlberechtigte ohne WVZ-Eintrag;Wähler;darunter Wähler mit Wahlschein;Ungültige Stimmzettel;Gültige Stimmzettel;Stimmbezirke insgesamt;vorliegende Stimmbezirke;SPD;CDU;DIE LINKE;FDP;GRÜNE;AfD;PIRATEN;NPD;Die PARTEI;ÖDP;RENTNER;HHBL;Liberale
01 Hamburg-Mitte ;91696;77263;14433;0;45881;13296;1363;217390;124;124;90927;23779;30812;11357;33553;12701;5813;786;4041;1066;597;525;1433
02 Billstedt - Wilhelmsburg - Finkenwerder ;87437;76852;10577;8;36884;9757;1717;173478;114;114;89013;22922;17456;7266;14114;13783;3491;1044;1993;676;765;282;673
03 Altona ;94441;75691;18750;0;57927;17389;1202;280854;117;117;104489;24031;49741;16858;61602;8506;6661;302;4933;1153;453;524;1601
04 Blankenese ;91353;72156;19192;5;55096;17948;1500;264168;123;123;117066;49936;14569;33041;26422;15784;2421;535;1269;831;560;611;1123
05 Rotherbaum - Harvestehude - Eimsbüttel-Ost ;60000;45476;14524;0;40770;13702;721;195152;91;91;73865;27138;21222;19281;38485;6621;3237;80;2406;632;314;409;1462
06 Stellingen - Eimsbüttel-West ;58805;48583;10222;0;33400;9510;936;160190;80;80;74579;20435;15911;8226;25181;8317;3110;394;1650;638;477;285;987
07 Lokstedt - Niendorf - Schnelsen ;73462;57703;15758;1;45278;14769;1301;217046;98;98;106879;38478;12264;16382;22814;12968;2568;547;1417;660;570;594;905
08 Eppendorf - Winterhude ;67049;50728;16321;0;43872;15266;872;212637;100;100;87702;36888;16217;21135;34682;8049;2799;189;1828;721;377;485;1565
09 Barmbek - Uhlenhorst - Dulsberg ;90007;73469;16538;0;50537;15189;1974;238668;128;128;105591;33164;23363;15808;35172;12614;5365;621;2763;1158;646;486;1917
10 Fuhlsbüttel - Alsterdorf - Langenhorn ;69247;56009;13236;2;44081;15211;1284;197523;100;100;97262;31292;13630;13301;21651;12548;3042;729;1307;655;736;508;862
11 Wandsbek ;77709;64019;13690;0;39447;12786;1285;189264;98;98;91101;31744;13098;12891;17744;14253;3331;889;1435;689;713;421;955
12 Bramfeld - Farmsen-Berne ;77842;64835;13007;0;40575;12353;1473;191463;97;97;102267;28934;13272;10359;14052;15319;2567;1148;1015;600;918;393;619
13 Alstertal - Walddörfer ;94707;70235;24472;0;66949;23136;1551;324072;139;139;142725;72932;13757;34812;32039;20202;2323;414;1456;839;624;618;1331
14 Rahlstedt ;66825;55100;11724;1;36245;11007;1240;173130;88;88;89173;32503;9385;11662;11960;12991;1743;980;753;562;528;307;583
15 Bergedorf ;91626;77061;14564;1;48419;13796;1587;230842;126;126;114679;41464;15712;13240;19724;17297;2546;1176;1404;1778;758;416;648
16 Harburg ;55346;46589;8757;0;27395;8170;977;130845;81;81;61182;20585;11059;7142;12608;11438;2369;737;1322;502;503;285;1113
17 Süderelbe ;51859;43365;8493;1;26548;8006;998;125992;76;76;60104;23578;8333;8840;9890;11010;1256;715;648;431;363;200;624
